Elev.,Lat.,Lon.,Timestamp
56.0,47.24313864950091,-1.554480018094182,2021-12-07T08:16:50+00:00
57.0,47.243153736926615,-1.5544651821255684,2021-12-07T08:16:51+00:00
59.0,47.24315532948822,-1.5544580575078726,2021-12-07T08:16:52+00:00
58.0,47.24316048435867,-1.5544375218451023,2021-12-07T08:16:53+00:00
58.0,47.24315876606852,-1.5544148907065392,2021-12-07T08:16:54+00:00
57.0,47.243155958130956,-1.554396953433752,2021-12-07T08:16:55+00:00
58.0,47.24315432365984,-1.5543868113309145,2021-12-07T08:16:56+00:00
58.0,47.24315227009356,-1.5543697122484446,2021-12-07T08:16:57+00:00
58.0,47.24315042607486,-1.5543487574905157,2021-12-07T08:16:58+00:00
58.0,47.243147576227784,-1.5543375257402658,2021-12-07T08:16:59+00:00
57.0,47.24314711522311,-1.5543220192193985,2021-12-07T08:17:00+00:00
57.0,47.24314770195633,-1.55430743470788,2021-12-07T08:17:01+00:00
57.0,47.243145438842475,-1.554288910701871,2021-12-07T08:17:02+00:00
58.0,47.24314627703279,-1.5542689617723227,2021-12-07T08:17:03+00:00
57.0,47.24314552266151,-1.554257646203041,2021-12-07T08:17:04+00:00
58.0,47.24314191844314,-1.5542450733482838,2021-12-07T08:17:05+00:00
58.0,47.24314003251493,-1.554225292056799,2021-12-07T08:17:06+00:00
57.0,47.24313680548221,-1.554211126640439,2021-12-07T08:17:07+00:00
57.0,47.24313223734498,-1.5541969612240791,2021-12-07T08:17:08+00:00
57.0,47.24312771111727,-1.5541802812367678,2021-12-07T08:17:09+00:00
57.0,47.24312456790358,-1.5541667863726616,2021-12-07T08:17:10+00:00
57.0,47.24311999976635,-1.5541465859860182,2021-12-07T08:17:11+00:00
57.0,47.243115389719605,-1.5541314147412777,2021-12-07T08:17:12+00:00
57.0,47.243111659772694,-1.554114818572998,2021-12-07T08:17:13+00:00
57.0,47.24310474470258,-1.5541017428040504,2021-12-07T08:17:14+00:00
57.0,47.24310017656535,-1.5540878288447857,2021-12-07T08:17:15+00:00
57.0,47.24309791345149,-1.5540732443332672,2021-12-07T08:17:16+00:00
57.0,47.24309083074331,-1.5540552232414484,2021-12-07T08:17:17+00:00
57.0,47.24308617878705,-1.554041476920247,2021-12-07T08:17:18+00:00
57.0,47.243079976178706,-1.5540251322090626,2021-12-07T08:17:19+00:00
57.0,47.24307373166084,-1.554009960964322,2021-12-07T08:17:20+00:00
57.0,47.24307079799473,-1.5539932809770107,2021-12-07T08:17:21+00:00
