date	time	relative time [s]	Cm [mg/m^3]	Cn [P/cm^3]	M1,0 [µm]	M1,0 [µm]	
07/12/2021	09:31:04	2280,41	0,090940	111,149300	0,317946	0,317946	
07/12/2021	09:31:14	2290,55	0,013198	105,540733	0,310082	0,310082	
07/12/2021	09:31:24	2300,50	0,009499	103,641434	0,306235	0,306235	
07/12/2021	09:31:34	2310,44	0,017009	103,365944	0,316078	0,316078	
07/12/2021	09:31:44	2320,61	0,011295	99,295242	0,309859	0,309859	
07/12/2021	09:31:54	2330,55	0,011585	104,818024	0,306519	0,306519	
07/12/2021	09:32:04	2340,66	0,012710	109,972847	0,317586	0,317586	
07/12/2021	09:32:14	2350,70	0,011886	114,409920	0,312812	0,312812	
07/12/2021	09:32:24	2360,59	0,011684	110,431442	0,303025	0,303025	
07/12/2021	09:32:33	2369,67	0,023992	111,329536	0,319610	0,319610	
07/12/2021	09:32:44	2380,47	0,021128	113,045975	0,327074	0,327074	
07/12/2021	09:32:54	2390,64	0,014676	109,341545	0,312035	0,312035	
07/12/2021	09:33:03	2399,73	0,010897	115,769264	0,309711	0,309711	
07/12/2021	09:33:14	2410,69	0,011414	107,626228	0,301197	0,301197	
07/12/2021	09:33:24	2420,59	0,013933	112,597229	0,318108	0,318108	
07/12/2021	09:33:34	2430,48	0,017063	109,614632	0,308158	0,308158	
07/12/2021	09:33:44	2440,64	0,027609	111,418793	0,322596	0,322596	
07/12/2021	09:33:53	2449,72	0,042554	114,495544	0,324028	0,324028	
07/12/2021	09:34:04	2460,58	0,034903	114,947372	0,325662	0,325662	
07/12/2021	09:34:13	2469,67	0,025662	114,588234	0,318929	0,318929	
07/12/2021	09:34:24	2480,66	0,021479	116,307213	0,320637	0,320637	
07/12/2021	09:34:33	2489,69	0,012326	112,057938	0,309769	0,309769	
07/12/2021	09:34:58	2514,80	0,014143	111,968811	0,306528	0,306528	
07/12/2021	09:34:59	2515,69	0,016465	111,243149	0,310090	0,310090	
07/12/2021	09:35:03	2519,69	0,016042	110,336052	0,314573	0,314573	
07/12/2021	09:35:13	2529,66	0,022724	111,052620	0,332177	0,332177	
07/12/2021	09:35:23	2539,72	0,020430	104,450371	0,320192	0,320192	
07/12/2021	09:35:33	2549,67	0,053641	109,153893	0,327577	0,327577	
07/12/2021	09:35:44	2560,70	0,020852	104,897629	0,333429	0,333429	
07/12/2021	09:35:53	2569,81	0,023632	107,704330	0,331200	0,331200	
07/12/2021	09:36:03	2579,77	0,013001	104,541443	0,319349	0,319349	
07/12/2021	09:36:13	2589,70	0,132053	108,697647	0,336262	0,336262	
07/12/2021	09:36:23	2599,86	0,014475	107,523682	0,330309	0,330309	
07/12/2021	09:36:33	2609,83	0,628411	106,440475	0,326420	0,326420	
07/12/2021	09:36:43	2619,75	0,014177	102,370300	0,316106	0,316106	
07/12/2021	09:36:53	2629,92	0,017325	101,008278	0,326838	0,326838	
07/12/2021	09:37:03	2639,91	0,017720	99,378212	0,329694	0,329694	
07/12/2021	09:37:13	2649,80	0,015257	106,350288	0,322082	0,322082	
07/12/2021	09:37:23	2659,72	0,018586	102,364334	0,331098	0,331098	
07/12/2021	09:37:33	2669,72	0,014650	100,200371	0,310001	0,310001	
07/12/2021	09:37:43	2679,86	0,016595	103,088150	0,332094	0,332094	
07/12/2021	09:37:53	2689,78	0,011201	100,741570	0,314986	0,314986	
07/12/2021	09:38:03	2699,97	0,019623	97,930443	0,328505	0,328505	
07/12/2021	09:38:13	2709,87	0,178102	100,369659	0,340045	0,340045	
07/12/2021	09:38:23	2719,80	0,036126	95,664551	0,337580	0,337580	
