FIDAS®, 0.18 - 18.0 µm #1
07/12/2021 08:53:34 ___ 07/12/2021 10:07:13
1 file(s)
441  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PM1_ambient - 	PM2.5_ambient - 	PM4_ambient - 	PM10_ambient - 	
07/12/2021	09:26:34	07/12/2021	09:26:44	1980,23	7,41	14,47	21,21	21,57
07/12/2021	09:26:44	07/12/2021	09:26:54	1990,16	7,26	12,91	18,54	18,87
07/12/2021	09:26:54	07/12/2021	09:27:04	2000,09	7,03	14,81	23,24	22,94
07/12/2021	09:27:04	07/12/2021	09:27:14	2010,23	7,51	14,91	23,34	27,50
07/12/2021	09:27:14	07/12/2021	09:27:24	2020,17	7,17	14,80	19,78	44,70
07/12/2021	09:27:24	07/12/2021	09:27:34	2030,12	8,16	17,41	27,42	27,07
07/12/2021	09:27:34	07/12/2021	09:27:44	2040,09	7,53	12,09	14,07	13,98
07/12/2021	09:27:44	07/12/2021	09:27:54	2050,22	6,65	17,12	31,58	38,55
07/12/2021	09:27:54	07/12/2021	09:28:04	2060,16	7,31	15,65	21,87	33,17
07/12/2021	09:28:04	07/12/2021	09:28:14	2070,16	7,20	12,33	15,07	23,01
07/12/2021	09:28:14	07/12/2021	09:28:24	2080,09	7,18	15,24	23,88	24,23
07/12/2021	09:28:24	07/12/2021	09:28:34	2090,30	7,23	13,72	19,12	20,07
07/12/2021	09:28:34	07/12/2021	09:28:44	2100,25	7,73	16,10	25,79	28,52
07/12/2021	09:28:44	07/12/2021	09:28:54	2110,37	6,47	12,21	17,79	17,75
07/12/2021	09:28:54	07/12/2021	09:29:04	2120,33	7,13	15,73	25,17	25,37
07/12/2021	09:29:04	07/12/2021	09:29:14	2130,27	7,17	15,94	25,65	28,33
07/12/2021	09:29:14	07/12/2021	09:29:24	2140,36	7,43	15,56	22,03	21,70
07/12/2021	09:29:24	07/12/2021	09:29:34	2150,30	8,30	14,94	18,85	28,29
07/12/2021	09:29:34	07/12/2021	09:29:44	2160,28	7,44	15,69	23,03	22,84
07/12/2021	09:29:44	07/12/2021	09:29:54	2170,22	7,22	13,65	19,44	19,23
07/12/2021	09:29:54	07/12/2021	09:30:04	2180,39	7,08	15,44	22,83	38,90
