date beginning,time beginning,time end,PM1_ambient - ,PM2.5_ambient - ,PM4_ambient - ,PM10_ambient - ,Cm [mg/m^3],Cn [P/cm^3],"M1,0 [µm]","M1,0 [µm].1",T [°C),HR [%).,Pression [mBar),Vit. Vent [m/s),Dir. Vent [°),Lumi [W/m²),Elev.,Lat.,Lon.,trajet
07/12/2021,09:02:24,09:02:34,"5,70","9,94","13,25","13,17","0,019493","328,726379","0,258384","0,258384","8,4","95,9","1006,8","1,49",52.0,"597,6",,,,Erdre_aller_0712
07/12/2021,09:02:33,09:02:43,"8,80","16,68","21,55","44,27","0,008241","72,950935","0,325496","0,325496","8,4","95,9","1006,8","0,97",56.0,"597,9",,,,Erdre_aller_0712
07/12/2021,09:02:44,09:02:54,"12,14","18,89","25,35","28,60","0,102309","167,013458","0,290078","0,290078","8,4","95,9","1006,8","2,46",178.0,"597,5",,,,Erdre_aller_0712
07/12/2021,09:02:54,09:03:04,"6,17","12,52","18,41","19,66","0,022373","311,796906","0,258131","0,258131","8,4",96,"1006,7","1,72",184.0,"597,2",,,,Erdre_aller_0712
07/12/2021,09:03:04,09:03:14,"6,39","13,41","19,27","19,74","0,015158","90,874039","0,319463","0,319463","8,4",96,"1006,8","0,42",152.0,"597,8",,,,Erdre_aller_0712
07/12/2021,09:03:14,09:03:24,"6,39","13,09","20,03","23,24","0,013982","76,654999","0,348388","0,348388","8,4","96,1","1006,8","0,32",153.0,"597,8",,,,Erdre_aller_0712
07/12/2021,09:03:24,09:03:34,"10,33","17,47","25,76","27,51","0,020893","74,028694","0,354428","0,354428","8,4","96,1","1006,8","0,15",117.0,"597,7",51.0,47.23282417282462,-1.5488674119114876,Erdre_aller_0712
07/12/2021,09:03:34,09:03:44,"7,83","15,53","22,99","26,38","0,020639","214,001724","0,281342","0,281342","8,4","96,2","1006,8","0,28",26.0,"597,8",52.0,47.23293766379357,-1.5488384943455458,Erdre_aller_0712
07/12/2021,09:03:44,09:03:54,"6,06","12,86","21,28","21,88","0,629641","133,145920","0,316326","0,316326","8,4","96,2","1006,8","0,63",342.0,"597,9",54.0,47.23306477535516,-1.54884310439229,Erdre_aller_0712
07/12/2021,09:03:54,09:04:04,"6,07","12,72","20,94","22,82","0,017265","74,120522","0,349968","0,349968","8,4","96,2","1006,8","0,26",103.0,598,55.0,47.2332007298246,-1.5488526597619057,Erdre_aller_0712
