
**********************************************************
Termite log, started at Tue Jan 25 09:56:51 2022
**********************************************************
01:48: Q,350,000.16,1029.2,096.3,-000.1,-000.6,,X,+0017.0,0000.000,+11.7,00,26
Q,014,000.04,1029.2,096.3,-000.1,-000.6,,X,+0016.8,0000.000,+11.7,00,2F
01:49: Q,185,000.08,1029.2,096.3,-000.1,-000.6,,X,+0016.6,0000.000,+11.7,00,24
Q,248,000.08,1029.2,096.3,-000.1,-000.6,,X,+0016.4,0000.000,+11.7,00,24
01:51: Q,167,000.06,1029.2,096.2,-000.1,-000.6,,X,+0016.4,0000.000,+11.7,00,25
01:53: Q,197,000.24,1029.2,096.2,-000.1,-000.6,,X,+0016.6,0000.000,+11.7,00,28
Q,197,000.30,1029.2,096.2,-000.1,-000.6,,X,+0016.7,0000.000,+11.7,00,2C
01:54: Q,260,000.18,1029.2,096.2,-000.1,-000.6,,X,+0016.6,0000.000,+11.7,00,2C
Q,262,000.05,1029.2,096.2,-000.1,-000.6,,X,+0016.9,0000.000,+11.7,00,2D
01:56: Q,305,000.05,1029.2,096.2,-000.1,-000.6,,X,+0017.0,0000.000,+11.7,00,25
Q,330,000.13,1029.2,096.2,-000.1,-000.6,,X,+0017.1,0000.000,+11.7,00,25
01:59: Q,320,000.22,1029.2,096.2,-000.1,-000.6,,X,+0017.1,0000.000,+11.7,00,26
Q,044,000.12,1029.2,096.2,-000.1,-000.6,,X,+0017.2,0000.000,+11.7,00,27
02:00: Q,046,000.09,1029.2,096.2,-000.1,-000.6,,X,+0017.3,0000.000,+11.7,00,2E
Q,055,000.09,1029.2,096.1,-000.1,-000.6,,X,+0017.4,0000.000,+11.7,00,28
02:02: Q,021,000.18,1029.2,096.1,-000.1,-000.6,,X,+0017.4,0000.000,+11.7,00,2B
Q,343,000.09,1029.2,096.1,-000.1,-000.6,,X,+0017.4,0000.000,+11.7,00,2C
02:05: Q,275,000.08,1029.2,096.1,-000.1,-000.6,,X,+0017.5,0000.000,+11.7,00,28
Q,260,000.06,1029.2,096.1,-000.1,-000.6,,X,+0017.6,0000.000,+11.7,00,21
02:07: Q,188,000.18,1029.2,096.1,-000.1,-000.6,,X,+0017.8,0000.000,+11.7,00,25
Q,088,000.24,1029.2,096.1,-000.1,-000.6,,X,+0017.9,0000.000,+11.7,00,2A
02:08: Q,061,000.17,1029.2,096.1,-000.1,-000.6,,X,+0018.0,0000.000,+11.7,00,2B
Q,097,000.06,1029.2,096.1,-000.1,-000.6,,X,+0018.0,0000.000,+11.7,00,22
02:10: Q,125,000.10,1029.2,096.1,-000.1,-000.6,,X,+0018.1,0000.000,+11.7,00,2C
02:12: Q,070,000.06,1029.2,096.0,-000.1,-000.6,,X,+0018.2,0000.000,+11.7,00,28
Q,053,000.02,1029.2,096.0,-000.1,-000.6,,X,+0018.3,0000.000,+11.7,00,2C
02:13: Q,346,000.02,1029.2,096.0,-000.1,-000.6,,X,+0018.4,0000.000,+11.7,00,2C
Q,188,000.09,1029.2,096.0,-000.1,-000.6,,X,+0018.4,0000.000,+11.7,00,27
02:15: Q,123,000.42,1029.2,096.0,-000.1,-000.6,,X,+0018.2,0000.000,+11.7,00,2F
Q,108,000.28,1029.2,096.0,-000.1,-000.6,,X,+0018.3,0000.000,+11.7,00,2B
02:18: Q,048,000.22,1029.2,096.0,-000.1,-000.6,,X,+0018.4,0000.000,+11.7,00,23
Q,012,000.16,1029.2,096.0,-000.1,-000.6,,X,+0018.5,0000.000,+11.7,00,2A
