*
08/11/2021 08:22:32 ___ 08/11/2021 11:13:51
1 file(s)
9999  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PMtotal_classic - 	PM1_classic - 	PM2.5_classic - 	PM4_classic - 	
08/11/2021	08:25:34	08/11/2021	08:25:35	181,66	0,99	0,71	0,99	0,99
08/11/2021	08:25:35	08/11/2021	08:25:36	182,67	0,43	0,43	0,43	0,43
08/11/2021	08:25:36	08/11/2021	08:25:37	183,66	0,33	0,33	0,33	0,33
08/11/2021	08:25:37	08/11/2021	08:25:38	184,66	0,46	0,45	0,46	0,46
08/11/2021	08:25:38	08/11/2021	08:25:39	185,64	0,32	0,32	0,32	0,32
08/11/2021	08:25:39	08/11/2021	08:25:40	186,66	0,24	0,24	0,24	0,24
08/11/2021	08:25:40	08/11/2021	08:25:41	187,64	0,39	0,39	0,39	0,39
08/11/2021	08:25:41	08/11/2021	08:25:42	188,66	0,19	0,19	0,19	0,19
08/11/2021	08:25:42	08/11/2021	08:25:43	189,67	0,21	0,21	0,21	0,21
08/11/2021	08:25:43	08/11/2021	08:25:44	190,62	2,14	0,67	2,06	2,14
08/11/2021	08:25:44	08/11/2021	08:25:45	191,62	0,25	0,25	0,25	0,25
08/11/2021	08:25:45	08/11/2021	08:25:46	192,61	0,30	0,30	0,30	0,30
08/11/2021	08:25:46	08/11/2021	08:25:47	193,61	0,08	0,08	0,08	0,08
08/11/2021	08:25:47	08/11/2021	08:25:48	194,61	0,22	0,22	0,22	0,22
08/11/2021	08:25:48	08/11/2021	08:25:49	195,61	0,38	0,38	0,38	0,38
08/11/2021	08:25:49	08/11/2021	08:25:50	196,59	0,28	0,28	0,28	0,28
08/11/2021	08:25:50	08/11/2021	08:25:51	197,59	0,63	0,50	0,63	0,63
08/11/2021	08:25:51	08/11/2021	08:25:52	198,59	0,34	0,34	0,34	0,34
08/11/2021	08:25:52	08/11/2021	08:25:53	199,58	0,23	0,23	0,23	0,23
