time,latitude,longitude,altitude,name
2022-01-25 09:37:47+00:00,47.26076742634177,-1.5878119971603155,82.0,
2022-01-25 09:37:48+00:00,47.26076621096581,-1.587832197546959,81.0,
2022-01-25 09:37:49+00:00,47.26076545659453,-1.5878491289913654,81.0,
2022-01-25 09:37:50+00:00,47.26076675578952,-1.587866311892867,81.0,
2022-01-25 09:37:51+00:00,47.26076968945563,-1.5878842491656542,81.0,
2022-01-25 09:37:52+00:00,47.26077350322157,-1.5879060421139002,80.0,
2022-01-25 09:37:53+00:00,47.26078008301556,-1.5879247337579727,80.0,
2022-01-25 09:37:54+00:00,47.26078481879085,-1.587941413745284,80.0,
2022-01-25 09:37:55+00:00,47.26078393869102,-1.5879595186561346,80.0,
2022-01-25 09:37:56+00:00,47.26078486070037,-1.587980305776,80.0,
2022-01-25 09:37:57+00:00,47.26078486070037,-1.5879993326961994,80.0,
2022-01-25 09:37:58+00:00,47.260788045823574,-1.5880172699689865,80.0,
2022-01-25 09:37:59+00:00,47.26079240441322,-1.5880355425179005,80.0,
2022-01-25 09:38:00+00:00,47.2607960505411,-1.5880538988858461,80.0,
2022-01-25 09:38:01+00:00,47.26080019958317,-1.5880735125392675,80.0,
2022-01-25 09:38:02+00:00,47.26080283988267,-1.5880934614688158,80.0,
2022-01-25 09:38:03+00:00,47.26080418098718,-1.5881134942173958,79.0,
2022-01-25 09:38:04+00:00,47.26080418098718,-1.588128749281168,79.0,
2022-01-25 09:38:05+00:00,47.260805647820234,-1.5881460160017014,79.0,
2022-01-25 09:38:06+00:00,47.260805019177496,-1.5881584212183952,79.0,
2022-01-25 09:38:07+00:00,47.26080975495279,-1.5881726704537868,79.0,
2022-01-25 09:38:08+00:00,47.260809084400535,-1.5881912782788277,79.0,
2022-01-25 09:38:09+00:00,47.26081117987633,-1.588208293542266,79.0,
2022-01-25 09:38:10+00:00,47.260815748013556,-1.5882228780537844,79.0,
2022-01-25 09:38:11+00:00,47.260822327807546,-1.588233020156622,79.0,
2022-01-25 09:38:12+00:00,47.26082899142057,-1.5882469341158867,79.0,
2022-01-25 09:38:13+00:00,47.260831128805876,-1.5882655419409275,79.0,
2022-01-25 09:38:14+00:00,47.260833266191185,-1.5882809646427631,79.0,
2022-01-25 09:38:15+00:00,47.26083825342357,-1.5882976446300745,80.0,
2022-01-25 09:38:16+00:00,47.26083829533309,-1.5883127320557833,80.0,
2022-01-25 09:38:17+00:00,47.2608385886997,-1.5883311722427607,80.0,
2022-01-25 09:38:18+00:00,47.2608412289992,-1.5883480198681355,80.0,
2022-01-25 09:38:19+00:00,47.26084252819419,-1.5883667953312397,80.0,
2022-01-25 09:38:20+00:00,47.26084127090871,-1.5883898455649614,81.0,
2022-01-25 09:38:21+00:00,47.26084332447499,-1.5884102135896683,80.0,
2022-01-25 09:38:22+00:00,47.260847724974155,-1.588425049558282,81.0,
2022-01-25 09:38:23+00:00,47.2608507424593,-1.5884364489465952,81.0,
2022-01-25 09:38:24+00:00,47.26085396949202,-1.58845036290586,81.0,
2022-01-25 09:38:25+00:00,47.26085606496781,-1.5884652826935053,81.0,
2022-01-25 09:38:26+00:00,47.26085698697716,-1.5884772688150406,81.0,
2022-01-25 09:38:27+00:00,47.26085334084928,-1.5884921047836542,81.0,
2022-01-25 09:38:28+00:00,47.260855017229915,-1.5885038394480944,80.0,
2022-01-25 09:38:29+00:00,47.26085933391005,-1.5885127242654562,80.0,
2022-01-25 09:38:30+00:00,47.260859250091016,-1.5885337628424168,80.0,
2022-01-25 09:38:31+00:00,47.26086205802858,-1.5885517839342356,80.0,
2022-01-25 09:38:32+00:00,47.26086256094277,-1.5885673742741346,80.0,
2022-01-25 09:38:33+00:00,47.26086390204728,-1.5885820426046848,80.0,
2022-01-25 09:38:34+00:00,47.26086469832808,-1.5885998960584402,79.0,
2022-01-25 09:38:35+00:00,47.26086637470871,-1.588617330417037,79.0,
2022-01-25 09:38:36+00:00,47.26086935028434,-1.5886363573372364,79.0,
2022-01-25 09:38:37+00:00,47.26087685208768,-1.5886559709906578,79.0,
2022-01-25 09:38:38+00:00,47.26088125258684,-1.5886721480637789,78.0,
2022-01-25 09:38:39+00:00,47.26088611409068,-1.5886884927749634,78.0,
2022-01-25 09:38:40+00:00,47.2608851082623,-1.5887049213051796,78.0,
2022-01-25 09:38:41+00:00,47.26088502444327,-1.5887044183909893,78.0,
2022-01-25 09:38:42+00:00,47.26088745519519,-1.58871715888381,78.0,
2022-01-25 09:38:43+00:00,47.26089256815612,-1.5887285582721233,78.0,
2022-01-25 09:38:44+00:00,47.26089256815612,-1.5887285582721233,78.0,
2022-01-25 09:38:45+00:00,47.26089256815612,-1.5887285582721233,78.0,
2022-01-25 09:38:46+00:00,47.26090208161622,-1.5887549612671137,78.0,
2022-01-25 09:38:47+00:00,47.26091058924794,-1.5887700486928225,79.0,
2022-01-25 09:38:48+00:00,47.260919767431915,-1.5887839626520872,79.0,
2022-01-25 09:38:49+00:00,47.26093020290136,-1.5887993853539228,79.0,
2022-01-25 09:38:50+00:00,47.26093720179051,-1.5888174902647734,80.0,
2022-01-25 09:38:51+00:00,47.2609421890229,-1.5888402890414,80.0,
2022-01-25 09:38:52+00:00,47.260946673341095,-1.5888609923422337,80.0,
2022-01-25 09:38:53+00:00,47.26095015183091,-1.5888824500143528,80.0,
2022-01-25 09:38:54+00:00,47.260956983081996,-1.5889102779328823,80.0,
2022-01-25 09:38:55+00:00,47.260963059961796,-1.5889314003288746,80.0,
2022-01-25 09:38:56+00:00,47.26096486207098,-1.5889590606093407,80.0,
2022-01-25 09:38:57+00:00,47.26096678990871,-1.588984290137887,80.0,
2022-01-25 09:38:58+00:00,47.260970058850944,-1.5890036523342133,80.0,
2022-01-25 09:38:59+00:00,47.26097110658884,-1.5890257805585861,80.0,
2022-01-25 09:39:00+00:00,47.260968927294016,-1.589046735316515,80.0,
2022-01-25 09:39:01+00:00,47.260966203175485,-1.5890710428357124,80.0,
2022-01-25 09:39:02+00:00,47.260969430208206,-1.5890992060303688,80.0,
2022-01-25 09:39:03+00:00,47.26096989121288,-1.5891242679208517,80.0,
2022-01-25 09:39:04+00:00,47.26097001694143,-1.5891468990594149,79.0,
2022-01-25 09:39:05+00:00,47.26097119040787,-1.589170703664422,79.0,
2022-01-25 09:39:06+00:00,47.26097253151238,-1.5891932509839535,79.0,
2022-01-25 09:39:07+00:00,47.260974082164466,-1.589214038103819,79.0,
2022-01-25 09:39:08+00:00,47.26096767000854,-1.5892335679382086,79.0,
2022-01-25 09:39:09+00:00,47.26097144186497,-1.5892565343528986,78.0,
2022-01-25 09:39:10+00:00,47.260973495431244,-1.5892715379595757,79.0,
2022-01-25 09:39:11+00:00,47.26097538135946,-1.5892848651856184,79.0,
2022-01-25 09:39:12+00:00,47.26097274105996,-1.589300623163581,78.0,
2022-01-25 09:39:13+00:00,47.26097634527832,-1.5893186442553997,78.0,
2022-01-25 09:39:14+00:00,47.26098439190537,-1.5893398504704237,77.0,
2022-01-25 09:39:15+00:00,47.26098904386163,-1.5893601346760988,77.0,
2022-01-25 09:39:16+00:00,47.26098979823291,-1.5893784072250128,77.0,
2022-01-25 09:39:17+00:00,47.26099591702223,-1.5893914829939604,76.0,
2022-01-25 09:39:18+00:00,47.26099973078817,-1.5894102584570646,76.0,
2022-01-25 09:39:19+00:00,47.26099843159318,-1.589431967586279,76.0,
2022-01-25 09:39:20+00:00,47.260995246469975,-1.589452000334859,77.0,
2022-01-25 09:39:21+00:00,47.26099461782724,-1.5894716139882803,77.0,
2022-01-25 09:39:22+00:00,47.26099906023592,-1.5894927363842726,77.0,
2022-01-25 09:39:23+00:00,47.26100266445428,-1.5895115118473768,77.0,
2022-01-25 09:39:24+00:00,47.26100639440119,-1.5895343944430351,78.0,
2022-01-25 09:39:25+00:00,47.26100807078183,-1.5895556844770908,78.0,
2022-01-25 09:39:26+00:00,47.26101318374276,-1.5895742923021317,78.0,
2022-01-25 09:39:27+00:00,47.26101318374276,-1.5895919781178236,78.0,
2022-01-25 09:39:28+00:00,47.26101511158049,-1.589609831571579,77.0,
2022-01-25 09:39:29+00:00,47.26101703941822,-1.5896216500550508,77.0,
2022-01-25 09:39:30+00:00,47.26101854816079,-1.589636905118823,77.0,
2022-01-25 09:39:31+00:00,47.26101838052273,-1.5896536689251661,78.0,
2022-01-25 09:39:32+00:00,47.26102374494076,-1.5896700974553823,77.0,
2022-01-25 09:39:33+00:00,47.26102734915912,-1.589685520157218,77.0,
2022-01-25 09:39:34+00:00,47.26102957036346,-1.589702283963561,77.0,
2022-01-25 09:39:35+00:00,47.26103070192039,-1.589718209579587,77.0,
2022-01-25 09:39:36+00:00,47.26103413850069,-1.589733799919486,77.0,
2022-01-25 09:39:37+00:00,47.261037114076316,-1.5897513180971146,77.0,
2022-01-25 09:39:38+00:00,47.2610389161855,-1.58976917155087,77.0,
2022-01-25 09:39:39+00:00,47.26103862281889,-1.5897879470139742,76.0,
2022-01-25 09:39:40+00:00,47.261042394675314,-1.5898047108203173,76.0,
2022-01-25 09:39:41+00:00,47.2610484296456,-1.5898210555315018,76.0,
2022-01-25 09:39:42+00:00,47.26105488371104,-1.5898358915001154,76.0,
2022-01-25 09:39:43+00:00,47.261056853458285,-1.5898533258587122,76.0,
2022-01-25 09:39:44+00:00,47.261059493757784,-1.5898718498647213,76.0,
2022-01-25 09:39:45+00:00,47.26106477435678,-1.589893726631999,76.0,
2022-01-25 09:39:46+00:00,47.26107206661254,-1.5899186208844185,76.0,
2022-01-25 09:39:47+00:00,47.26107764057815,-1.589937312528491,76.0,
2022-01-25 09:39:48+00:00,47.2610804066062,-1.5899527352303267,76.0,
2022-01-25 09:39:49+00:00,47.26108141243458,-1.5899685770273209,76.0,
2022-01-25 09:39:50+00:00,47.26107805967331,-1.5899807307869196,75.0,
2022-01-25 09:39:51+00:00,47.26107412017882,-1.5900051221251488,74.0,
2022-01-25 09:39:52+00:00,47.26108036469668,-1.5900294296443462,74.0,
2022-01-25 09:39:53+00:00,47.26108736358583,-1.590050971135497,74.0,
2022-01-25 09:39:54+00:00,47.261094488203526,-1.5900708362460136,74.0,
2022-01-25 09:39:55+00:00,47.26110425312072,-1.5900928806513548,74.0,
2022-01-25 09:39:56+00:00,47.26111188065261,-1.5901129972189665,74.0,
2022-01-25 09:39:57+00:00,47.261117454618216,-1.5901296772062778,74.0,
2022-01-25 09:39:58+00:00,47.26112277712673,-1.5901483688503504,74.0,
2022-01-25 09:39:59+00:00,47.26112638134509,-1.5901612769812346,74.0,
2022-01-25 09:40:00+00:00,47.2611293150112,-1.590177370235324,74.0,
2022-01-25 09:40:01+00:00,47.261132625862956,-1.5901903621852398,73.0,
2022-01-25 09:40:02+00:00,47.26113744545728,-1.5902042761445045,73.0,
2022-01-25 09:40:03+00:00,47.26113845128566,-1.590221794322133,73.0,
2022-01-25 09:40:04+00:00,47.26114209741354,-1.5902380552142859,73.0,
2022-01-25 09:40:05+00:00,47.26114180404693,-1.5902597643435001,73.0,
2022-01-25 09:40:06+00:00,47.26114565972239,-1.5902767796069384,73.0,
2022-01-25 09:40:07+00:00,47.26115198805928,-1.590294549241662,74.0,
2022-01-25 09:40:08+00:00,47.26115454453975,-1.5903119836002588,74.0,
2022-01-25 09:40:09+00:00,47.26115542463958,-1.5903360396623611,74.0,
2022-01-25 09:40:10+00:00,47.261159741319716,-1.5903559047728777,73.0,
2022-01-25 09:40:11+00:00,47.261164309456944,-1.5903654601424932,73.0,
2022-01-25 09:40:12+00:00,47.26117135025561,-1.5903785359114408,72.0,
2022-01-25 09:40:13+00:00,47.26117591839284,-1.5903938747942448,73.0,
2022-01-25 09:40:14+00:00,47.26117730140686,-1.5904123988002539,73.0,
2022-01-25 09:40:15+00:00,47.261180193163455,-1.5904319286346436,73.0,
2022-01-25 09:40:16+00:00,47.26118254009634,-1.5904512908309698,73.0,
2022-01-25 09:40:17+00:00,47.261182833462954,-1.5904643665999174,73.0,
2022-01-25 09:40:18+00:00,47.26118782069534,-1.5904767718166113,73.0,
2022-01-25 09:40:19+00:00,47.26119205355644,-1.5904891770333052,73.0,
2022-01-25 09:40:20+00:00,47.261198004707694,-1.5905092097818851,74.0,
2022-01-25 09:40:21+00:00,47.261200728826225,-1.5905244648456573,74.0,
2022-01-25 09:40:22+00:00,47.26120693143457,-1.5905384626239538,74.0,
2022-01-25 09:40:23+00:00,47.26120525505394,-1.5905517060309649,73.0,
2022-01-25 09:40:24+00:00,47.261205590330064,-1.590570481494069,73.0,
2022-01-25 09:40:25+00:00,47.261208104901016,-1.590588167309761,74.0,
2022-01-25 09:40:26+00:00,47.261213385500014,-1.590602584183216,74.0,
2022-01-25 09:40:27+00:00,47.26122013293207,-1.5906216949224472,75.0,
2022-01-25 09:40:28+00:00,47.26122243795544,-1.5906417276710272,75.0,
2022-01-25 09:40:29+00:00,47.26122859865427,-1.5906563960015774,75.0,
2022-01-25 09:40:30+00:00,47.26123526226729,-1.5906703937798738,75.0,
2022-01-25 09:40:31+00:00,47.261241506785154,-1.5906854812055826,75.0,
2022-01-25 09:40:32+00:00,47.26124397944659,-1.590697718784213,74.0,
2022-01-25 09:40:33+00:00,47.26125508546829,-1.590718673542142,74.0,
2022-01-25 09:40:34+00:00,47.26125948596746,-1.5907325875014067,74.0,
2022-01-25 09:40:35+00:00,47.26126451510936,-1.590749602764845,74.0,
2022-01-25 09:40:36+00:00,47.261270927265286,-1.590765193104744,74.0,
2022-01-25 09:40:37+00:00,47.26127683650702,-1.5907814539968967,73.0,
2022-01-25 09:40:38+00:00,47.26127859670669,-1.5907973796129227,73.0,
2022-01-25 09:40:39+00:00,47.26128320675343,-1.590816155076027,74.0,
2022-01-25 09:40:40+00:00,47.261282159015536,-1.5908316615968943,74.0,
2022-01-25 09:40:41+00:00,47.26128538604826,-1.5908457431942225,74.0,
2022-01-25 09:40:42+00:00,47.26127918343991,-1.590859154239297,74.0,
2022-01-25 09:40:43+00:00,47.26126925088465,-1.5908768400549889,74.0,
2022-01-25 09:40:44+00:00,47.26126024033874,-1.590900979936123,74.0,
2022-01-25 09:40:45+00:00,47.26125671993941,-1.5909237787127495,74.0,
2022-01-25 09:40:46+00:00,47.261255043558776,-1.5909456554800272,74.0,
2022-01-25 09:40:47+00:00,47.261251523159444,-1.59096485003829,74.0,
2022-01-25 09:40:48+00:00,47.26125085260719,-1.5909852180629969,74.0,
2022-01-25 09:40:49+00:00,47.261251732707024,-1.5910029876977205,74.0,
2022-01-25 09:40:50+00:00,47.26125328335911,-1.5910220984369516,74.0,
2022-01-25 09:40:51+00:00,47.26125659421086,-1.591039951890707,74.0,
2022-01-25 09:40:52+00:00,47.261264473199844,-1.591057889163494,75.0,
2022-01-25 09:40:53+00:00,47.26127159781754,-1.5910729765892029,75.0,
2022-01-25 09:40:54+00:00,47.26127826143056,-1.5910925064235926,75.0,
2022-01-25 09:40:55+00:00,47.261281865648925,-1.591106839478016,74.0,
2022-01-25 09:40:56+00:00,47.26129091810435,-1.591124190017581,74.0,
2022-01-25 09:40:57+00:00,47.261303407140076,-1.5911385230720043,74.0,
2022-01-25 09:40:58+00:00,47.26131145376712,-1.5911482460796833,74.0,
2022-01-25 09:40:59+00:00,47.26131983567029,-1.591153023764491,74.0,
2022-01-25 09:41:00+00:00,47.261329223401845,-1.5911611542105675,74.0,
2022-01-25 09:41:01+00:00,47.26133928168565,-1.5911614056676626,73.0,
2022-01-25 09:41:02+00:00,47.26135302800685,-1.59116274677217,73.0,
2022-01-25 09:41:03+00:00,47.26136618759483,-1.5911832824349403,73.0,
2022-01-25 09:41:04+00:00,47.26136903744191,-1.5912011358886957,74.0,
2022-01-25 09:41:05+00:00,47.261377167887986,-1.5912177320569754,74.0,
2022-01-25 09:41:06+00:00,47.26138747762889,-1.5912406984716654,74.0,
2022-01-25 09:41:07+00:00,47.26139187812805,-1.5912504214793444,74.0,
2022-01-25 09:41:08+00:00,47.261393764056265,-1.5912634134292603,74.0,
2022-01-25 09:41:09+00:00,47.2613962367177,-1.5912772435694933,74.0,
2022-01-25 09:41:10+00:00,47.26140189450234,-1.5912912413477898,74.0,
